SPECIES_BINOMIAL,GENUS,SPECIES,FAMILY,IUCN_STATUS,THREATENED_STATUS,GEOGRAPHIC_REGION,MEDIAN_N_HET,MEDIAN_CALLABLE,MEDIAN_nRoH_1mb,MEDIAN_sRoH_1mb,MEDIAN_fRoH_1mb,MEDIAN_COVERAGE,REFERENCE_LENGTH,MEDIAN_HETEROZYGOSITY,GENERATION_LENGTH,MU_PER_GENERATION,MU_PER_YEAR,EFFECTIVE_POP_SIZE,CombinedTestesMass.in.g,BrainSizeSpeciesMean,Body.MassMaleMean,BodyMassFemaleMean,MassDimorphism,CanineDimorphism,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,InterbirthInterval_days,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,HomeRange_km2,DayLength_km,Territoriality,Fruit,Leaves,Fauna,Feed,Move,Rest,Social,Mating.System,SocialSystem,NatalDispersal
Trachypithecus_crepusculus,Trachypithecus,crepusculus,Cercopithecidae,DD,DD,ASIA,2448057,2459281686,233,548400000,0.180486137,29.59,3038460517,0.000995436,12,5.96E-09,4.97E-10,41755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus_cristatus,Trachypithecus,cristatus,Cercopithecidae,VU,Threatened,ASIA,2141617,2454248424,184,404800000,0.133225361,28.46,3038460517,0.000872616,12,8.90E-09,7.42E-10,24512,6.3,57.86,6728.1,6059.7,1110,1.697,32.4,1,15.6,15.6,NA,NA,362.93,373.2,1.01,0.54,2428.6,25,1682.1,1747.3,0.12,0.35,0.8954,NA,91,0,NA,NA,NA,NA,Harem_Polygyny,Polygynandry,Bisexual
Trachypithecus_francoisi,Trachypithecus,francoisi,Cercopithecidae,EN,Threatened,ASIA,2130408,2425387485,18,27400000,0.009017725,19.65,3038460517,0.000878378,12,7.20E-09,6.00E-10,30499,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygyny,Bisexual
Trachypithecus_geei,Trachypithecus,geei,Cercopithecidae,EN,Threatened,ASIA,1183515.5,2456833921,347,649500000,0.213759566,25.65,3038460517,0.00048177,12,2.53E-09,2.11E-10,47606,NA,81.3,10800,9500,1137,NA,13.3,1.7,5.4,3.18,NA,NA,NA,NA,1.02,26.79,1479.1,17.6,1040.9,1243.1,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygyny,NA
Trachypithecus_germaini,Trachypithecus,germaini,Cercopithecidae,EN,Threatened,ASIA,4862126,2450230315,22,38000000,0.012506333,26.88,3038460517,0.001984355,12,6.68E-09,5.57E-10,74265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus_hatinhensis,Trachypithecus,hatinhensis,Cercopithecidae,EN,Threatened,ASIA,2479502,2440553050,76,205600000,0.067665846,22.37,3038460517,0.001015959,12,9.32E-09,7.77E-10,27252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus_laotum,Trachypithecus,laotum,Cercopithecidae,EN,Threatened,ASIA,2388361,2456839043,161,462000000,0.152050684,29.2,3038460517,0.000972128,11,8.43E-09,7.66E-10,28829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus_leucocephalus,Trachypithecus,leucocephalus,Cercopithecidae,CR,Threatened,ASIA,1061123,2406730356,511,1083600000,0.356627968,35.21,3038460517,0.000440898,12,1.10E-08,9.17E-10,10020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus_melamera,Trachypithecus,melamera,Cercopithecidae,EN,Threatened,ASIA,2708017,2286740882,56,107200000,0.035281025,19.2,3038460517,0.001184226,12,5.76E-09,4.80E-10,51399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus_obscurus,Trachypithecus,obscurus,Cercopithecidae,EN,Threatened,ASIA,4686885,2450810192,2,4000000,0.001316456,28.94,3038460517,0.001912382,12,5.53E-09,4.61E-10,86455,5.82,62.12,7346.9,6764.8,1086,1.814,10.2,2.5,7,2.8,NA,145,362.93,300,1.01,6.82,2019.8,25.5,1624.5,1834.8,0.33,0.48,0.7405,35,58,NA,NA,NA,NA,NA,Harem_Polygyny,Polygynandry,Bisexual
Trachypithecus_phayrei,Trachypithecus,phayrei,Cercopithecidae,EN,Threatened,ASIA,1662603,2458688831,243,446400000,0.146916505,40.73,3038460517,0.000676215,12,6.97E-09,5.81E-10,24254,NA,72.84,7767.8,7182,1082,NA,NA,NA,NA,NA,456.25,167,305.87,339.6,1,20.48,1458.7,21.3,1055.7,1419.1,0.958,1,0.9054,37,46,NA,NA,NA,NA,NA,Harem_Polygyny,Polygyny,Bisexual
Trachypithecus_pileatus,Trachypithecus,pileatus,Cercopithecidae,VU,Threatened,ASIA,3181215,2441197561,45,99000000,0.032582289,66.8,3038460517,0.001303137,12,1.04E-08,8.67E-10,31325,NA,103.64,12247,11340,1080,1.887,7.8,1.05,3.55,3.38,NA,NA,NA,302.4,NA,24.83,1903.1,20.3,1063.8,1264.7,0.43,0.325,0.4392,34,53,NA,NA,NA,NA,NA,Harem_Polygyny,Polygyny,Bisexual
Varecia_rubra,Varecia,rubra,Lemuridae,CR,Threatened,MADAGASCAR,3241933,1791314003,69,153200000,0.072184076,48.8,2122351751,0.001809807,8,3.63E-09,4.54E-10,124642,NA,31.08,3600,3340,1078,NA,4.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,4,0,NA,NA,NA,NA,NA,Polygynandry,Sexbiased
Varecia_variegata,Varecia,variegata,Lemuridae,CR,Threatened,MADAGASCAR,4407044,1709146136,6,7800000,0.003675168,42.27,2122351751,0.002578506,6.5,2.64E-09,4.06E-10,244177,NA,32.12,3630,3520,1031,1.038,2.8,2.5,1.42,0.57,365,99,90.73,384,2.16,-19.18,1885.8,19.9,1351.4,1564,1.39,1.021,0.7675,90,6,0,26.78,13.2,53.03,3.5,Monogamy,Pair,Sexbiased
